Date,Day,Morning (7:00 AM – 10:00 AM),Progress,Night (10:00 PM – 12:00 AM),Progress2
27-Dec-24,Day 1,"Python: Data types, variables, and basic I/O",,Practice exercises on variables & data types,
28-Dec-24,Day 2,"Python: Loops (for, while) and conditionals (if-else)",,Write programs using loops and conditionals,
29-Dec-24,Day 3,"Python: Functions (parameters, return values)",,Mini-project: Basic calculator function,
30-Dec-24,Day 4,"Python: Lists, tuples, and dictionaries",,Mini-project: Student marks management,
31-Dec-24,Day 5,"SQL: Basics (CREATE TABLE, INSERT, SELECT)",,Practice creating simple tables in SQLite,
01-Jan-25,Day 6,SQL: WHERE and filtering data,,Mini-project: Query a sample patient database,
02-Jan-25,Day 7,Python: File handling (read/write files),,Apply SQL and Python to clean small datasets,
03-Jan-25,Day 8,SQL: JOIN operations and combining data,,Query a healthcare dataset using JOINs,
04-Jan-25,Day 9,"Python: Intro to Pandas (DataFrames, Series)",,Practice importing and viewing CSV files,
05-Jan-25,Day 10,SQL: GROUP BY and aggregate functions,,"Analyze simple patient data (count, average)",
06-Jan-25,Day 11,"Python: Cleaning data with Pandas (dropna, fillna)",,Clean real-world messy healthcare data,
07-Jan-25,Day 12,"Python: Advanced Pandas (merging, joining, grouping)",,Integrate Python and SQL for data analysis,
08-Jan-25,Day 13,SQL: Practice subqueries and nested queries,,Mini-project: Pharmacy sales analysis,
09-Jan-25,Day 14,Consolidation: Combine Python and SQL for analysis,,Reflect and improve on skills learned so far,
10-Jan-25,Day 15,"Matplotlib: Basic plots (line, bar, scatter)",,Practice creating simple visualizations,
11-Jan-25,Day 16,"Matplotlib: Customizing plots (titles, labels)",,Create a sales trend visualization,
12-Jan-25,Day 17,Seaborn: Intro (distribution plots),,Visualize patient ages or treatment outcomes,
13-Jan-25,Day 18,"Seaborn: Categorical plots (bar, box, violin)",,Compare treatments by gender using bar plots,
14-Jan-25,Day 19,Combined: Matplotlib and Seaborn,,Analyze and visualize pharmacy inventory data,
15-Jan-25,Day 20,Advanced Seaborn: Pair plots and heatmaps,,Visualize correlations in healthcare datasets,
16-Jan-25,Day 21,Mini-project: Create dashboards with graphs,,Start building a data visualization portfolio,
17-Jan-25,Day 22,Practice visualization techniques,,Create graphs for your MIMIC-III dataset,
18-Jan-25,Day 23,Data storytelling: Insights with visuals,,Work on presentation-ready visualizations,
19-Jan-25,Day 24,Consolidation: Analyze and visualize data,,Create a summary visualization project,
20-Jan-25,Day 25,Understand MIMIC-III dataset structure,,Load and explore MIMIC-III data with Pandas,
21-Jan-25,Day 26,Extract key information (patient demographics),,Analyze admission types and lengths of stay,
22-Jan-25,Day 27,Clean MIMIC-III data (handle missing values),,Merge patient and treatment data for analysis,
23-Jan-25,Day 28,Perform EDA: Statistical summaries,,Plot patient trends over time,
24-Jan-25,Day 29,"Identify insights: Age, gender, diagnosis",,Create gender-based treatment visualizations,
25-Jan-25,Day 30,Create dashboards: Admissions and outcomes,,Build reusable visualizations with Matplotlib,
26-Jan-25,Day 31,Explore other MIMIC-III tables (lab results),,Analyze lab results over time for insights,
27-Jan-25,Day 32,"Advanced analysis (e.g., mortality rates)",,Compare outcomes based on treatment patterns,
28-Jan-25,Day 33,Define project scope and objectives,,Explore additional public datasets for context,
29-Jan-25,Day 34,Clean and preprocess all relevant data,,Start visualizing key trends and patterns,
30-Jan-25,Day 35,Perform EDA and create advanced plots,,Build a compelling dashboard with analysis,
31-Jan-25,Day 36,Draft project documentation (README),,Refine your GitHub repository for showcase,
01-Feb-25,Day 37,Create LinkedIn posts showcasing progress,,Share insights and dashboards online,
02-Feb-25,Day 38,Finalize and test your project,,Gather feedback from peers or connections,
03-Feb-25,Day 39,Review and enhance your portfolio,,Reflect on learning progress and next steps,
